agent,scenario,lambda,ocs,fcs,cas,stability,msx_size
DQN,EASY,0.5,0.25,0.9966397849462365,0.0,100.0,1.0
DQN,EASY,1.0,0.25,0.9885752688172043,0.0,100.0,1.0
DQN,EASY,1.5,0.25,0.9811827956989246,0.0,50.0,2.0
DQN,EASY,2.0,0.25,0.967741935483871,0.0,25.0,4.0
DQN,MEDIUM,0.5,0.5,0.9872311827956989,0.25,75.62163978494623,1.0
DQN,MEDIUM,1.0,0.25,0.9711021505376344,0.0,100.0,1.7721774193548387
DQN,MEDIUM,1.5,0.25,0.9576612903225806,0.0,92.38911290322581,2.0766129032258065
DQN,MEDIUM,2.0,0.25,0.9509408602150536,0.0,60.332661290322584,2.717741935483871
DQN,HARD,0.5,0.5,0.9899193548387096,0.25,55.77956989247311,1.0
DQN,HARD,1.0,0.5,0.9818548387096774,0.25,100.0,2.3266129032258065
DQN,HARD,1.5,0.25,0.9758064516129032,0.0,83.41733870967742,2.9899193548387095
DQN,HARD,2.0,0.25,0.9711021505376344,0.0,83.41733870967742,2.9899193548387095
A2C_mod,EASY,0.5,0.25,0.991263440860215,0.0,33.06451612903224,1.0
A2C_mod,EASY,1.0,0.25,0.9724462365591398,0.0,100.0,3.032258064516129
A2C_mod,EASY,1.5,0.25,0.9462365591397849,0.0,75.80645161290323,4.0
A2C_mod,EASY,2.0,0.25,0.918010752688172,0.0,75.80645161290323,4.0
A2C_mod,MEDIUM,0.5,0.5,0.9818548387096774,0.25,33.33333333333332,1.0
A2C_mod,MEDIUM,1.0,0.5,0.9549731182795698,0.25,100.0,3.0
A2C_mod,MEDIUM,1.5,0.25,0.9401881720430108,0.0,75.0,4.0
A2C_mod,MEDIUM,2.0,0.25,0.9119623655913978,0.0,75.0,4.0
A2C_mod,HARD,0.5,0.5,0.9838709677419355,0.25,33.33333333333332,1.0
A2C_mod,HARD,1.0,0.5,0.9711021505376344,0.25,100.0,3.0
A2C_mod,HARD,1.5,0.5,0.9603494623655914,0.25,75.0,4.0
A2C_mod,HARD,2.0,0.5,0.9045698924731183,0.25,75.0,4.0
