agent,checkpoint_idx,ckpt_dir,scenario,total_reward,service_reward,holding_cost,waste_cost,order_cost,action_chosen
DQN,0,checkpoints_dqn_comparison42,Easy,0.693556839258628,0.99903512801697,-0.056916318096971355,-0.008585149508778925,-0.2399768211525917,9
DQN,0,checkpoints_dqn_comparison42,Medium,0.08185187617519962,0.8720111595852853,-0.012192772348082406,-0.014371492943199811,-0.7635950181188035,4
DQN,0,checkpoints_dqn_comparison42,Hard,0.2001189965843162,0.7858736629213267,-0.0038620751588594243,-0.02521187313917289,-0.5566807180389781,4
DQN,1,checkpoints_dqn_comparison123,Easy,0.7676760523206636,1.0,-0.1914862875238209,-0.009890120990989825,-0.030947539164525622,11
DQN,1,checkpoints_dqn_comparison123,Medium,0.6934042893567897,1.0,-0.18108158343615224,-0.04895032444045219,-0.07656380276660588,11
DQN,1,checkpoints_dqn_comparison123,Hard,0.5569925826606626,0.9999246193994931,-0.17068291170782043,-0.14510069418062221,-0.1271484308503877,11
DQN,2,checkpoints_dqn_comparison256,Easy,0.8861407063617432,1.0,-0.07175221633960324,-0.009861422666181712,-0.03224565463247174,9
DQN,2,checkpoints_dqn_comparison256,Medium,0.793139703741033,0.9999849238798986,-0.061283480657293936,-0.048555427501178895,-0.09700631198039271,9
DQN,2,checkpoints_dqn_comparison256,Hard,0.6034829798531389,0.9998718529791382,-0.05098643043089294,-0.1416710901566801,-0.20373135253842625,9
DQN,3,checkpoints_dqn_comparison512,Easy,0.8856741818328081,1.0,-0.07170789247565927,-0.009854881417440254,-0.032763044274092365,9
DQN,3,checkpoints_dqn_comparison512,Medium,0.7916690795664223,0.9999095432793916,-0.0612786940117884,-0.04853551577819916,-0.09842625392298172,9
DQN,3,checkpoints_dqn_comparison512,Hard,0.6023652874910975,0.9996834014778706,-0.05103085514476174,-0.14166021613932367,-0.2046270427026877,9
DQN,4,checkpoints_dqn_comparison3primary,Easy,0.9427516827624287,1.0,-0.012069092394713047,-0.009892628409445693,-0.03528659643341246,5
DQN,4,checkpoints_dqn_comparison3primary,Medium,0.8564719406644055,1.0,-0.0011337291944895527,-0.0482432869931754,-0.09415104314792971,5
DQN,4,checkpoints_dqn_comparison3primary,Hard,0.7201062910317314,0.9999849238798986,-9.315791688021581e-05,-0.1322817090237714,-0.1475037659075155,5
A2C_mod,0,checkpoints_a2c_42,Easy,0.8292246970487838,1.0,-0.007858972224039312,-0.009382850218102472,-0.15353348050907448,0
A2C_mod,0,checkpoints_a2c_42,Medium,0.7388341693942797,1.0,-0.008577166081160603,-0.04576317360856343,-0.20682549091599625,0
A2C_mod,0,checkpoints_a2c_42,Hard,0.6044570737892762,0.9999170813394423,-0.008319951780541,-0.13403554884701424,-0.2531045069226109,0
A2C_mod,1,checkpoints_a2c_123,Easy,-0.37707478834665986,0.9803256446844705,-0.6092148053523146,-0.007018793740728329,-0.7411668339380874,13
A2C_mod,1,checkpoints_a2c_123,Medium,-0.7503969443703674,0.9096788807492548,-0.6384021413217532,-0.03522165601835223,-0.9864520277795168,13
A2C_mod,1,checkpoints_a2c_123,Hard,-0.9341752836145959,0.9636815919804929,-0.8201934089806938,-0.13216389818225135,-0.9454995684321436,13
A2C_mod,2,checkpoints_a2c_256,Easy,0.06952768540860096,0.9999924619399493,-0.8838252537261392,-0.009897198441753451,-0.03674232436345568,13
A2C_mod,2,checkpoints_a2c_256,Medium,-0.012177531984457007,0.999826624519987,-0.8749186305412605,-0.04892263018447368,-0.08816289577870987,13
A2C_mod,2,checkpoints_a2c_256,Hard,-0.1477873204557061,0.9995854065983647,-0.8705318808357909,-0.14508754395529208,-0.13175330226298781,13
A2C_mod,3,checkpoints_a2c_512,Easy,0.8831589632659492,1.0,-0.07189619347914918,-0.009864972816482125,-0.035079870438419425,9
A2C_mod,3,checkpoints_a2c_512,Medium,0.7910955961205406,1.0,-0.06136887688620269,-0.04855901108526472,-0.09897651590799189,9
A2C_mod,3,checkpoints_a2c_512,Hard,0.6012601171870395,0.9999924619399493,-0.05113516632501487,-0.14164436714813286,-0.20595281127976192,9
A2C_mod,4,checkpoints_a2c_1024,Easy,0.5217866204934237,0.9998190864599364,-0.4093235279765493,-0.009860002236698705,-0.05884893575326466,5
A2C_mod,4,checkpoints_a2c_1024,Medium,0.4095592400330933,0.997617972529745,-0.4047990953843194,-0.04813773778095767,-0.13512189933137472,5
A2C_mod,4,checkpoints_a2c_1024,Hard,0.2902129731743378,0.9964948009891099,-0.34911273152970557,-0.14063662048398362,-0.2165324758010829,5
