λ,Scenario,N,AFR_faithful,CI_faithful,AFR_MSX,AFR_MSX_CI,AFR_Random,AFR_Random_CI,FR,Jaccard,QDrop_MSX,QDrop_Random,p_value,sig
0.5,EASY,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0038461539894342383,0.004615384787321084,,ns
0.5,MEDIUM,200,0.595,0.06820489232220382,0.02,0.01945170026542873,0.1537,0.019361332715040886,0.1301236089704874,0.11125,0.0038542555123489315,0.0025159913261822574,1.0,ns
0.5,HARD,200,1.0,0.0,0.06,0.0329965918751753,0.262,0.011270481746312793,0.2290076248470372,0.0325,0.0038534026858848404,0.0010741739854887714,1.0,ns
1.0,EASY,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.004615384787321084,0.004615384787321084,,ns
1.0,MEDIUM,200,0.595,0.06820489232220382,0.015,0.01688858554195822,0.149,0.01858224948653686,0.10067113418314536,0.20916666666666664,0.004571262369305157,0.002555649022222414,1.0,ns
1.0,HARD,200,1.0,0.0,0.06,0.0329965918751753,0.25520000000000004,0.010791821567451834,0.23510970865557565,0.02,0.0044546136120840315,0.0011337141057934542,1.0,ns
1.5,EASY,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004615384787321084,0.004615384787321084,,ns
1.5,MEDIUM,200,0.595,0.06820489232220382,0.59,0.06833567165178449,0.15330000000000002,0.01885559642287434,3.848662501718036,0.55375,0.004571262369305157,0.002543054378065786,8.292517890846778e-40,***
1.5,HARD,200,1.0,0.0,1.0,0.0,0.26080000000000003,0.011951615474161265,3.834355681198018,0.25,0.0044546136120840315,0.0011213959563305858,9.414148307128283e-189,***
2.0,EASY,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004615384787321084,0.004615384787321084,,ns
2.0,MEDIUM,200,0.595,0.06820489232220382,0.59,0.06833567165178449,0.1537,0.019049734918953915,3.8386464646293774,0.55375,0.004571262369305157,0.0025230008789663395,8.667799900823218e-40,***
2.0,HARD,200,1.0,0.0,1.0,0.0,0.2645,0.01187902496717867,3.780718193545626,0.25,0.0044546136120840315,0.001112678709085128,7.623833131027599e-189,***
